"DOI","Authors","Title","Source","Year","TotalCitation","TCperYear","NTC","SR","students","human","regression analysis","compressive strength","Assigned_cluster","pagerank"
"10.1007/s10257-018-0387-x","YUE Q;HUA X;QUAN M","STRUCTURAL EQUATION MODEL ANALYSIS OF INFORMATION SYSTEMS IN COOPERATIVE ORGANIZATIONS: FOCUSING THE ROLE OF COOPERATIVE EXPERIENCE AND INFORMATION PROCESS MECHANISM","INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT","2020","0","0.000","0.000","YUE Q, 2020, INF SYST E-BUS MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1080/10168737.2018.1517815","IFA A;GUETAT I","RETRACTED ARTICLE: HOW CAN PUBLIC EDUCATION SPENDING AFFECTS MOROCCAN AND TUNISIAN GDP PER CAPITA? ARDL APPROACH (INTERNATIONAL ECONOMIC JOURNAL, (2021), 35, 1, (I–XV))","INTERNATIONAL ECONOMIC JOURNAL","2021","0","0.000","0.000","IFA A, 2021, INT ECON J","0.000","0.000","0.000","0.000","","0.000"
"10.1080/13032917.2020.1830137","AYGÜN Y;TÜFEKÇI Ş","A LUST FOR RUST: GOING BACK IN TIME AND EXPLORING A MUSEUM WITHOUT GRAVITY","ANATOLIA","2020","0","0.000","0.000","AYGÜN Y, 2020, ANATOLIA","0.000","0.000","0.000","0.000","","0.000"
"10.1111/hequ.12360","OWENS S;AVERS-LYNDE K;III","DONOR MONEY AND THE ACADEMY: PERCEPTIONS OF UNDUE DONOR PRESSURE IN POLITICAL SCIENCE, ECONOMICS, AND PHILOSOPHY","HIGHER EDUCATION QUARTERLY","2021","0","0.000","0.000","OWENS S, 2021, HIGER EDUC Q","0.000","0.000","0.000","0.000","","0.000"
"10.1177/1471082X20979104","","WITHDRAWAL: ADMINISTRATIVE DUPLICATE PUBLICATION: KERNEL-BASED ESTIMATION OF INDIVIDUAL LOCATION DENSITIES FROM SMARTPHONE DATA (STATISTICAL MODELLING, (2020), 20, 6, (617-633), 10.1177/1471082X19870331)","STATISTICAL MODELLING","2021","0","0.000","0.000","NA, 2021, STAT MODEL","0.000","0.000","0.000","0.000","","0.000"
"10.1093/JCR/UCZ056","RAN Y;MAGLIO SJ","SORRY BY SIZE: HOW THE NUMBER OF APOLOGIZERS AFFECTS APOLOGY EFFECTIVENESS","JOURNAL OF CONSUMER RESEARCH","2021","0","0.000","0.000","RAN Y, 2021, J CONSUM RES","0.000","0.000","0.000","0.000","","0.000"
"10.1111/ajpy.12275","","RETRACTED: THE IMPACT OF CONSTRUAL LEVEL ON HAPPINESS, HOPE, OPTIMISM, LIFE SATISFACTION, AND LOVE OF LIFE: A LONGITUDINAL AND EXPERIMENTAL STUDY (AUSTRALIAN JOURNAL OF PSYCHOLOGY, (2020), (1-9))","AUSTRALIAN JOURNAL OF PSYCHOLOGY","2020","0","0.000","0.000","NA, 2020, AUST J PSYCHOL","0.000","0.000","0.000","0.000","","0.000"
"10.1080/01621459.2018.1505625","","RETRACTED ARTICLE: SMOOTHING WITH COUPLINGS OF CONDITIONAL PARTICLE FILTERS (JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION, (2020), 115, 529, (489), 10.1080/01621459.2018.1505625)","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","2020","0","0.000","0.000","NA, 2020, J AM STAT ASSOC","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10257-018-00395-3","ZHANG L;LUO K","RESEARCH ON ENTERPRISE INFORMATION CAPABILITY EVALUATION BASED ON FUZZY INFERENCE SYSTEM","INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT","2020","0","0.000","0.000","ZHANG L, 2020, INF SYST E-BUS MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.paid.2020.109813","LEE STH;LI NP;MELTZER AL;MELIA NV;OH HS","NO GLOVE, NO LOVE: GENERAL INTELLIGENCE PREDICTS INCREASED LIKELIHOOD OF CONDOM USE IN RESPONSE TO HIV THREAT","PERSONALITY AND INDIVIDUAL DIFFERENCES","2020","0","0.000","0.000","LEE STH, 2020, PERS INDIVID DIFFER","0.000","0.000","0.000","0.000","","0.000"
