"DOI","Authors","Title","Source","Year","TotalCitation","TCperYear","NTC","SR","students","human","regression analysis","compressive strength","Assigned_cluster","pagerank"
"10.1016/j.jclepro.2016.12.151","MOHAMMADHOSSEINI H;YATIM JM;SAM ARM;AWAL ASMA","DURABILITY PERFORMANCE OF GREEN CONCRETE COMPOSITES CONTAINING WASTE CARPET FIBERS AND PALM OIL FUEL ASH","JOURNAL OF CLEANER PRODUCTION","2017","125","15.625","6.796","MOHAMMADHOSSEINI H, 2017, J CLEAN PROD","0.000","0.000","0.000","1.000","compressive strength","0.020"
"10.1016/j.jclepro.2016.12.168","MOHAMMADHOSSEINI H;YATIM JM","MICROSTRUCTURE AND RESIDUAL PROPERTIES OF GREEN CONCRETE COMPOSITES INCORPORATING WASTE CARPET FIBERS AND PALM OIL FUEL ASH AT ELEVATED TEMPERATURES","JOURNAL OF CLEANER PRODUCTION","2017","99","12.375","5.382","MOHAMMADHOSSEINI H, 2017, J CLEAN PROD-a","0.000","0.000","0.000","1.000","compressive strength","0.021"
"10.1016/j.jclepro.2018.03.051","MOHAMMADHOSSEINI H;TAHIR MM;MOHD SAM AR;ABDUL SHUKOR LIM NH;SAMADI M","ENHANCED PERFORMANCE FOR AGGRESSIVE ENVIRONMENTS OF GREEN CONCRETE COMPOSITES REINFORCED WITH WASTE CARPET FIBERS AND PALM OIL FUEL ASH","JOURNAL OF CLEANER PRODUCTION","2018","86","12.286","2.850","MOHAMMADHOSSEINI H, 2018, J CLEAN PROD","0.000","0.000","0.000","1.000","compressive strength","0.014"
"10.1016/j.jclepro.2020.120726","MOHAMMADHOSSEINI H;ALYOUSEF R;ABDUL SHUKOR LIM NH;TAHIR MM;ALABDULJABBAR H;MOHAMED AM;SAMADI M","WASTE METALIZED FILM FOOD PACKAGING AS LOW COST AND ECOFRIENDLY FIBROUS MATERIALS IN THE PRODUCTION OF SUSTAINABLE AND GREEN CONCRETE COMPOSITES","JOURNAL OF CLEANER PRODUCTION","2020","60","12.000","3.586","MOHAMMADHOSSEINI H, 2020, J CLEAN PROD","0.000","0.000","0.000","1.000","compressive strength","0.021"
"10.1006/jema.2001.0468","GOTTINGER HW","INCENTIVE COMPATIBLE ENVIRONMENTAL REGULATION","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2001","7","0.292","0.667","GOTTINGER HW, 2001, J ENVIRON MANAGE","0.000","0.408","0.000","0.592","compressive strength","0.048"
"10.1111/j.0956-7976.2004.00757.x","HEYMAN J;ARIELY D","EFFORT FOR PAYMENT - A TALE OF TWO MARKETS","PSYCHOLOGICAL SCIENCE","2004","591","28.143","2.585","HEYMAN J, 2004, PSYCHOL SCI","0.058","0.942","0.000","0.000","human","0.097"
"10.1016/j.foodqual.2004.06.005","WANSINK B;VAN ITTERSUM K;PAINTER JE","HOW DESCRIPTIVE FOOD NAMES BIAS SENSORY PERCEPTIONS IN RESTAURANTS","FOOD QUALITY AND PREFERENCE","2005","173","8.650","0.664","WANSINK B, 2005, FOOD QUAL PREFERENCE","0.000","1.000","0.000","0.000","human","0.098"
"10.1177/0956797614520714","GINO F;WILTERMUTH SS","EVIL GENIUS? HOW DISHONESTY CAN LEAD TO GREATER CREATIVITY","PSYCHOLOGICAL SCIENCE","2014","155","14.091","7.572","GINO F, 2014, PSYCHOL SCI","0.000","1.000","0.000","0.000","human","0.201"
"10.1016/j.jenvman.2016.01.038","SARMA GK;SEN GUPTA S;BHATTACHARYYA KG","ADSORPTION OF CRYSTAL VIOLET ON RAW AND ACID-TREATED MONTMORILLONITE, K10, IN AQUEOUS SUSPENSION","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2016","145","16.111","7.496","SARMA GK, 2016, J ENVIRON MANAGE","0.000","1.000","0.000","0.000","human","0.029"
"10.1177/0956797615575277","GINO F;KOUCHAKI M;GALINSKY AD","THE MORAL VIRTUE OF AUTHENTICITY: HOW INAUTHENTICITY PRODUCES FEELINGS OF IMMORALITY AND IMPURITY","PSYCHOLOGICAL SCIENCE","2015","128","12.800","4.620","GINO F, 2015, PSYCHOL SCI","0.000","1.000","0.000","0.000","human","0.193"
"10.1037/0022-3514.83.1.60","STAPEL DA;KOOMEN W;RUYS KI","THE EFFECTS OF DIFFUSE AND DISTINCT AFFECT","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","2002","72","3.130","1.920","STAPEL DA, 2002, J PERS SOC PSYCHOL","0.000","1.000","0.000","0.000","human","0.097"
"10.1016/j.cam.2004.03.015","KANZOW C;YAMASHITA N;FUKUSHIMA M","LEVENBERG-MARQUARDT METHODS WITH STRONG LOCAL CONVERGENCE PROPERTIES FOR SOLVING NONLINEAR EQUATIONS WITH CONVEX CONSTRAINTS","JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS","2005","64","3.200","0.245","KANZOW C, 2005, J COMPUT APPL MATH","0.400","0.600","0.000","0.000","human","0.005"
"10.1037/a0022459","MAHAJAN N;MARTINEZ MA;GUTIERREZ NL;DIESENDRUCK G;BANAJI MR;SANTOS LR","THE EVOLUTION OF INTERGROUP BIAS: PERCEPTIONS AND ATTITUDES IN RHESUS MACAQUES","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","2011","59","4.214","1.451","MAHAJAN N, 2011, J PERS SOC PSYCHOL","0.000","1.000","0.000","0.000","human","0.136"
"10.2466/pms.1993.76.3.837","EYSENCK HJ;FURNHAM A","PERSONALITY AND THE BARRON-WELSH ART SCALE.","PERCEPTUAL AND MOTOR SKILLS","1993","53","1.656","1.000","EYSENCK HJ, 1993, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.221"
"10.2466/pms.1971.32.2.637","EYSENCK HJ","RELATION BETWEEN INTELLIGENCE AND PERSONALITY.","PERCEPTUAL AND MOTOR SKILLS","1971","51","0.944","2.194","EYSENCK HJ, 1971, PERCEPT MOT SKILLS-a","0.000","1.000","0.000","0.000","human","0.202"
"10.1016/j.chb.2014.11.062","RUGGIERO D","THE EFFECT OF A PERSUASIVE SOCIAL IMPACT GAME ON AFFECTIVE LEARNING AND ATTITUDE","COMPUTERS IN HUMAN BEHAVIOR","2015","50","5.000","1.805","RUGGIERO D, 2015, COMPUT HUM BEHAV","0.405","0.595","0.000","0.000","human","0.028"
"10.1080/09669582.2017.1310867","TAHERI B;FARRINGTON T;CURRAN R;O'GORMAN K","SUSTAINABILITY AND THE AUTHENTIC EXPERIENCE. HARNESSING BRAND HERITAGE–A STUDY FROM JAPAN","JOURNAL OF SUSTAINABLE TOURISM","2018","49","7.000","1.624","TAHERI B, 2018, J SUSTAINABLE TOUR","0.000","1.000","0.000","0.000","human","0.007"
"10.2466/pms.2002.95.2.355","GUÉGUEN N","TOUCH, AWARENESS OF TOUCH, AND COMPLIANCE WITH A REQUEST","PERCEPTUAL AND MOTOR SKILLS","2002","49","2.130","1.307","GUÉGUEN N, 2002, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.179"
"10.1111/j.1467-9280.2008.02097.x","RUYS KI;STAPEL DA","THE SECRET LIFE OF EMOTIONS: RESEARCH ARTICLE","PSYCHOLOGICAL SCIENCE","2008","44","2.588","1.547","RUYS KI, 2008, PSYCHOL SCI-a","0.000","1.000","0.000","0.000","human","0.093"
"10.2466/pms.1967.24.3c.1047","EYSENCK SB;EYSENCK HJ","SALIVARY RESPONSE TO LEMON JUICE AS A MEASURE OF INTROVERSION.","PERCEPTUAL AND MOTOR SKILLS","1967","40","0.690","1.000","EYSENCK SB, 1967, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.164"
"10.1111/j.1467-9280.2008.02128.x","RUYS KI;STAPEL DA","EMOTION ELICITOR OR EMOTION MESSENGER? SUBLIMINAL PRIMING REVEALS TWO FACES OF FACIAL EXPRESSIONS","PSYCHOLOGICAL SCIENCE","2008","36","2.118","1.266","RUYS KI, 2008, PSYCHOL SCI","0.015","0.985","0.000","0.000","human","0.117"
"10.1016/j.jenvman.2018.04.109","VO H-N-P;BUI X-T;NGUYEN T-T;NGUYEN DD;DAO T-S;CAO N-D-T;VO T-K-Q","EFFECTS OF NUTRIENT RATIOS AND CARBON DIOXIDE BIO-SEQUESTRATION ON BIOMASS GROWTH OF CHLORELLA SP. IN BUBBLE COLUMN PHOTOBIOREACTOR","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2018","35","5.000","1.160","VO H-N-P, 2018, J ENVIRON MANAGE","0.000","1.000","0.000","0.000","human","0.049"
"10.2466/PMS.104.2.581-588","JOULE R-V;GUÉGUEN N","TOUCH, COMPLIANCE, AND AWARENESS OF TACTILE CONTACT","PERCEPTUAL AND MOTOR SKILLS","2007","34","1.889","1.093","JOULE R-V, 2007, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.181"
"10.1016/S0950-3293(02)00088-5","WANSINK B","PROFILING NUTRITIONAL GATEKEEPERS: THREE METHODS FOR DIFFERENTIATING INFLUENTIAL COOKS","FOOD QUALITY AND PREFERENCE","2003","34","1.545","1.478","WANSINK B, 2003, FOOD QUAL PREFERENCE","0.000","1.000","0.000","0.000","human","0.101"
"10.1016/j.chb.2017.03.024","RUGGIERO D;GREEN L","PROBLEM SOLVING THROUGH DIGITAL GAME DESIGN: A QUANTITATIVE CONTENT ANALYSIS","COMPUTERS IN HUMAN BEHAVIOR","2017","30","3.750","1.631","RUGGIERO D, 2017, COMPUT HUM BEHAV","0.436","0.564","0.000","0.000","human","0.091"
"10.1037/0022-3514.92.6.1051","JOHNSON CS;STAPEL DA","NO PAIN, NO GAIN: THE CONDITIONS UNDER WHICH UPWARD COMPARISONS LEAD TO BETTER PERFORMANCE","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","2007","30","1.667","0.964","JOHNSON CS, 2007, J PERS SOC PSYCHOL","0.000","1.000","0.000","0.000","human","0.212"
"10.2466/pms.1979.49.3.859","IWAWAKI S;EYSENCK HJ;GÖTZ KO","A NEW VISUAL AESTHETIC SENSITIVITY TEST (VAST): II. CROSS-CULTURAL COMPARISON BETWEEN ENGLAND AND JAPAN.","PERCEPTUAL AND MOTOR SKILLS","1979","30","0.652","1.000","IWAWAKI S, 1979, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.173"
"10.1016/j.marpol.2017.06.032","PRAMOD G;PITCHER TJ;MANTHA G","ESTIMATES OF ILLEGAL AND UNREPORTED SEAFOOD IMPORTS TO JAPAN","MARINE POLICY","2017","27","3.375","1.468","PRAMOD G, 2017, MAR POLICY","0.000","1.000","0.000","0.000","human","0.001"
"10.2466/pms.1971.33.2.461","EYSENCK HJ;EYSENCK SB","THE ORTHOGONALITY OF PSYCHOTICISM AND NEUROTICISM: A FACTORIAL STUDY.","PERCEPTUAL AND MOTOR SKILLS","1971","26","0.481","1.118","EYSENCK HJ, 1971, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.220"
"10.1016/j.ssci.2011.03.003","PEIZHONG Y;XIN W;TAO L","AGENT-BASED SIMULATION OF FIRE EMERGENCY EVACUATION WITH FIRE AND HUMAN INTERACTION MODEL","SAFETY SCIENCE","2011","22","1.571","0.541","PEIZHONG Y, 2011, SAF SCI","0.000","1.000","0.000","0.000","human","0.029"
"10.2466/pms.1964.18.1.173","EYSENCK HJ","INVOLUNTARY REST PAUSES IN TAPPING AS A FUNCTION OF DRIVE AND PERSONALITY.","PERCEPTUAL AND MOTOR SKILLS","1964","22","0.361","1.000","EYSENCK HJ, 1964, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.076"
"10.2466/PMS.109.3.941-948","GUÉGUEN N;LAMY L","HITCHHIKING WOMEN'S HAIR COLOR","PERCEPTUAL AND MOTOR SKILLS","2009","18","1.125","0.352","GUÉGUEN N, 2009, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.200"
"10.1111/j.1467-9280.2009.02458.x","SANNA LJ;CHANG EC;PARKS CD;KENNEDY LA","CONSTRUING COLLECTIVE CONCERNS: INCREASING COOPERATION BY BROADENING CONSTRUALS IN SOCIAL DILEMMAS","PSYCHOLOGICAL SCIENCE","2009","18","1.125","0.352","SANNA LJ, 2009, PSYCHOL SCI","0.014","0.829","0.157","0.000","human","0.157"
"10.1016/j.appet.2005.07.011","WANSINK B;BASCOUL G;CHEN GT","THE SWEET TOOTH HYPOTHESIS: HOW FRUIT CONSUMPTION RELATES TO SNACK CONSUMPTION","APPETITE","2006","18","0.947","0.380","WANSINK B, 2006, APPETITE","0.000","0.891","0.109","0.000","human","0.080"
"10.1037/0022-3514.77.4.774","RUGGIERO KM;MARX DM","LESS PAIN AND MORE TO GAIN: WHY HIGH-STATUS GROUP MEMBERS BLAME THEIR FAILURE ON DISCRIMINATION","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","1999","18","0.692","0.720","RUGGIERO KM, 1999, J PERS SOC PSYCHOL","0.000","1.000","0.000","0.000","human","0.209"
"10.1093/bioinformatics/btm324","ASGARY MP;JAHANDIDEH S;ABDOLMALEKI P;KAZEMNEJAD A","ANALYSIS AND IDENTIFICATION OF Β-TURN TYPES USING MULTINOMIAL LOGISTIC REGRESSION AND ARTIFICIAL NEURAL NETWORK","BIOINFORMATICS","2007","15","0.833","0.482","ASGARY MP, 2007, BIOINFORMATICS","0.247","0.753","0.000","0.000","human","0.040"
"10.2466/pms.1990.71.1.216","EYSENCK HJ","THE PREDICTION OF DEATH FROM CANCER BY MEANS OF PERSONALITY/STRESS QUESTIONNAIRE: TOO GOOD TO BE TRUE?","PERCEPTUAL AND MOTOR SKILLS","1990","15","0.429","1.304","EYSENCK HJ, 1990, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.125"
"10.1177/0193841X221085355","SHAHZAD U;RAMZAN M;SHAH MI;DOĞAN B;AJMI AN","ANALYZING THE NEXUS BETWEEN GEOPOLITICAL RISK, POLICY UNCERTAINTY, AND TOURIST ARRIVALS: EVIDENCE FROM THE UNITED STATES","EVALUATION REVIEW","2022","13","4.333","10.317","SHAHZAD U, 2022, EVAL REV","0.171","0.829","0.000","0.000","human","0.069"
"10.1093/eurpub/ckm072","VOLF V;MARX D;PLISKOVA L;SÜMEGH L;CELKO A","A SURVEY OF HEPATITIS B AND C PREVALENCE AMONGST THE HOMELESS COMMUNITY OF PRAGUE","EUROPEAN JOURNAL OF PUBLIC HEALTH","2008","13","0.765","0.457","VOLF V, 2008, EUR J PUBLIC HEALTH","0.000","1.000","0.000","0.000","human","0.171"
"10.1037/pspa0000226","GINO F;KOUCHAKI M;CASCIARO T","WHY CONNECT? MORAL CONSEQUENCES OF NETWORKING WITH A PROMOTION OR PREVENTION FOCUS.","JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY","2020","12","2.400","0.717","GINO F, 2020, J PERS SOC PSYCHOL","0.000","1.000","0.000","0.000","human","0.160"
"10.1093/bioinformatics/btz380","GHELFI A;SHIRASAWA K;HIRAKAWA H;ISOBE S","HAYAI-ANNOTATION PLANTS: AN ULTRA-FAST AND COMPREHENSIVE FUNCTIONAL GENE ANNOTATION SYSTEM IN PLANTS","BIOINFORMATICS","2019","12","2.000","0.671","GHELFI A, 2019, BIOINFORMATICS","0.000","1.000","0.000","0.000","human","0.031"
"10.2105/AJPH.2018.304346","DE LEÓN AC;RODRÍGUEZ IM;GANNAR F;PEDRERO GARCÍA AJ;GONZÁLEZ DA;PÉREZ MDCR;DÍAZ BB;SÁNCHEZ JJA;AGUIRRE-JAIME A","AUSTERITY POLICIES AND MORTALITY IN SPAIN AFTER THE FINANCIAL CRISIS OF 2008","AMERICAN JOURNAL OF PUBLIC HEALTH","2018","12","1.714","0.398","DE LEÓN AC, 2018, AM J PUBLIC HEALTH","0.000","1.000","0.000","0.000","human","0.045"
"10.1016/j.jenvman.2019.03.027","WU P;MO W;CHEN Z;WANG Y;CUI Y;ZHANG Y;SONG Y;JIN L;HOU Y;ZHU F;CAO B;LI N","THE REMOVAL OF CYHALOFOP-BUTYL IN SOIL BY SURPLUS RHODOPSEUDANONAS PALUSTRIS IN WASTEWATER PURIFICATION","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2019","12","2.000","0.671","WU P, 2019, J ENVIRON MANAGE","0.000","1.000","0.000","0.000","human","0.040"
"10.1016/S0195-6663(03)00120-X","WANSINK B","PROFILING TASTE-MOTIVATED SEGMENTS","APPETITE","2003","12","0.545","0.522","WANSINK B, 2003, APPETITE","0.000","1.000","0.000","0.000","human","0.066"
"10.2466/pms.1962.15.1.229","EYSENCK HJ;WILLETT RA","CUE UTILIZATION AS A FUNCTION OF DRIVE: AN EXPERIMENTAL STUDY.","PERCEPTUAL AND MOTOR SKILLS","1962","12","0.190","1.000","EYSENCK HJ, 1962, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.046"
"10.1177/0956797618761374","LI M;SUN Y;CHEN H","THE DECOY EFFECT AS A NUDGE: BOOSTING HAND HYGIENE WITH A WORSE OPTION","PSYCHOLOGICAL SCIENCE","2019","11","1.833","0.615","LI M, 2019, PSYCHOL SCI","0.000","1.000","0.000","0.000","human","0.002"
"10.2466/pms.1972.34.3.873","BONE RN;EYSENCK HJ","EXTRAVERSION, FIELD-DEPENDENCE, AND THE STROOP TEST.","PERCEPTUAL AND MOTOR SKILLS","1972","11","0.208","1.833","BONE RN, 1972, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.245"
"10.1016/j.appet.2009.01.001","WANSINK B;VAN ITTERSUM K;WERLE C","HOW NEGATIVE EXPERIENCES SHAPE LONG-TERM FOOD PREFERENCES. FIFTY YEARS FROM THE WORLD WAR II COMBAT FRONT","APPETITE","2009","10","0.625","0.196","WANSINK B, 2009, APPETITE","0.000","1.000","0.000","0.000","human","0.073"
"10.2466/pms.1971.33.1.216","EYSENCK SB;EYSENCK HJ","ATTITUDES TO SEX, PERSONALITY AND LIE SCALE SCORES.","PERCEPTUAL AND MOTOR SKILLS","1971","10","0.185","0.430","EYSENCK SB, 1971, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.232"
"10.1177/0956797619897915","CLARK CJ;WINEGARD BM;BEARDSLEE J;BAUMEISTER RF;SHARIFF AF","DECLINES IN RELIGIOSITY PREDICT INCREASES IN VIOLENT CRIME—BUT NOT AMONG COUNTRIES WITH RELATIVELY HIGH AVERAGE IQ","PSYCHOLOGICAL SCIENCE","2020","9","1.800","0.538","CLARK CJ, 2020, PSYCHOL SCI","0.000","1.000","0.000","0.000","human","0.002"
"10.2466/pms.1990.71.1.199","GROSSARTH-MATICEK R;EYSENCK HJ;UHLENBRUCK G;RIEDER H;VETTER H;FREESEMANN C;RAKIC L;GALLASCH G;KANAZIR DT;LIESEN H","SPORT ACTIVITY AND PERSONALITY AS ELEMENTS IN PREVENTING CANCER AND CORONARY HEART DISEASE","PERCEPTUAL AND MOTOR SKILLS","1990","8","0.229","0.696","GROSSARTH-MATICEK R, 1990, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.076"
"10.1177/1460458219891384","RAJAN JEYARAJ P;NADAR ERS","ATRIAL FIBRILLATION CLASSIFICATION USING DEEP LEARNING ALGORITHM IN INTERNET OF THINGS–BASED SMART HEALTHCARE SYSTEM","HEALTH INFORMATICS JOURNAL","2020","7","1.400","0.418","RAJAN JEYARAJ P, 2020, HEALTH INFORMATICS J","0.000","1.000","0.000","0.000","human","0.002"
"10.1007/s40273-021-01002-z","AL SHABASY SA;ABBASSI MM;FINCH AP;BAINES D;FARID SF","THE EQ-5D-5L VALUATION STUDY IN EGYPT","PHARMACOECONOMICS","2021","7","1.750","1.242","AL SHABASY SA, 2021, PHARMACOECONOMICS","0.000","1.000","0.000","0.000","human","0.124"
"10.1111/rode.12304","DWIBEDI JK;MARJIT S","RELATIVE AFFLUENCE AND CHILD LABOR—EXPLAINING A PARADOX","REVIEW OF DEVELOPMENT ECONOMICS","2017","6","0.750","0.326","DWIBEDI JK, 2017, REV DEV ECON","0.000","1.000","0.000","0.000","human","0.013"
"10.1016/j.jmsy.2016.12.004","ASADI H","APPLY FUZZY LEARNING EFFECT WITH FUZZY PROCESSING TIMES FOR SINGLE MACHINE SCHEDULING PROBLEMS","JOURNAL OF MANUFACTURING SYSTEMS","2017","6","0.750","0.326","ASADI H, 2017, J MANUF SYST","0.400","0.600","0.000","0.000","human","0.006"
"10.1002/ejsp.2175","KARPINSKI A;YALE M;BRIGGS JC","UNCONSCIOUS ARITHMETIC PROCESSING: A DIRECT REPLICATION","EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY","2016","6","0.667","0.310","KARPINSKI A, 2016, EUR J SOC PSYCHOL","0.000","1.000","0.000","0.000","human","0.034"
"10.1016/j.paid.2015.09.017","ZHANG Q;TIAN J;CAO J;ZHANG D-J;RODKIN P","EXPOSURE TO WEAPON PICTURES AND SUBSEQUENT AGGRESSION DURING ADOLESCENCE","PERSONALITY AND INDIVIDUAL DIFFERENCES","2016","6","0.667","0.310","ZHANG Q, 2016, PERS INDIVID DIFFER","0.000","1.000","0.000","0.000","human","0.070"
"10.2466/pms.1971.33.2.375","WILSON GD;TUNSTALL OA;EYSENCK HJ","INDIVIDUAL DIFFERENCES IN TAPPING PERFORMANCE AS A FUNCTION OF TIME ON THE TASK.","PERCEPTUAL AND MOTOR SKILLS","1971","6","0.111","0.258","WILSON GD, 1971, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.193"
"10.1016/j.knosys.2020.105703","MA J;SHEN J","A NOVEL TWIN MINIMAX PROBABILITY MACHINE FOR CLASSIFICATION AND REGRESSION","KNOWLEDGE-BASED SYSTEMS","2020","5","1.000","0.299","MA J, 2020, KNOWL BASED SYST","0.000","1.000","0.000","0.000","human","0.003"
"10.1080/00343400802154565","BAUM S;BILL A;MITCHELL WF","EMPLOYABILITY AND LABOUR UNDER-UTILIZATION IN NON-METROPOLITAN LABOUR MARKETS","REGIONAL STUDIES","2009","4","0.250","0.078","BAUM S, 2009, REG STUD","0.000","1.000","0.000","0.000","human","0.004"
"10.1177/1460458219888405","BAILEY T;THABTAH F;WRIGHT M;TRAN DA","FOODKNIGHT: A MOBILE EDUCATIONAL GAME AND ANALYSES OF OBESITY AWARENESS IN CHILDREN","HEALTH INFORMATICS JOURNAL","2020","3","0.600","0.179","BAILEY T, 2020, HEALTH INFORMATICS J","0.000","1.000","0.000","0.000","human","0.002"
"10.1016/j.marpol.2016.05.034","TILLEY A;LÓPEZ-ANGARITA J","PREDICTING VULNERABILITY TO MANAGEMENT CHANGES IN DATA-LIMITED, SMALL-SCALE FISHERIES","MARINE POLICY","2016","3","0.333","0.155","TILLEY A, 2016, MAR POLICY","0.000","0.583","0.417","0.000","human","0.018"
"10.1016/j.appet.2013.08.004","HUBBS-TAIT L;DICKIN KL;SIGMAN-GRANT M;JAHNS L;MOBLEY AR","RELATION OF PARENTING STYLES, FEEDING STYLES AND FEEDING PRACTICES TO CHILD OVERWEIGHT AND OBESITY. DIRECT AND MODERATED EFFECTS","APPETITE","2013","3","0.250","0.070","HUBBS-TAIT L, 2013, APPETITE","0.000","1.000","0.000","0.000","human","0.104"
"10.1348/014466609X476827","JOHNSON CS;STAPEL DA","IT DEPENDS ON HOW YOU LOOK AT IT: BEING VERSUS BECOMING MINDSETS DETERMINE RESPONSES TO SOCIAL COMPARISONS","BRITISH JOURNAL OF SOCIAL PSYCHOLOGY","2010","3","0.200","0.117","JOHNSON CS, 2010, BR J SOC PSYCHOL","0.000","1.000","0.000","0.000","human","0.218"
"10.1002/ejsp.569","MARINGER M;STAPEL DA","CORRECTION OR COMPARISON? THE EFFECTS OF PRIME AWARENESS ON SOCIAL JUDGMENTS","EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY","2009","3","0.188","0.059","MARINGER M, 2009, EUR J SOC PSYCHOL","0.000","1.000","0.000","0.000","human","0.045"
"10.2466/pms.1974.39.1.315","ALLSOPP JF;EYSENCK HJ","PERSONALITY AS A DETERMINANT OF PAIRED ASSOCIATES LEARNING","PERCEPTUAL AND MOTOR SKILLS","1974","3","0.059","1.000","ALLSOPP JF, 1974, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.022"
"10.2466/pms.1966.22.1.273","EYSENCK HJ","ON THE DUAL FUNCTION OF CONSOLIDATION.","PERCEPTUAL AND MOTOR SKILLS","1966","3","0.051","1.000","EYSENCK HJ, 1966, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.081"
"10.1111/1467-9280.00298","RUGGIERO KM;MITCHELL JP;KRIEGER N;MARX DM;LORENZO ML","NOW YOU SEE IT, NOW YOU DON'T: EXPLICIT VERSUS IMPLICIT MEASURES OF THE PERSONAL/GROUP DISCRIMINATION DISCREPANCY","PSYCHOLOGICAL SCIENCE","2000","3","0.120","1.000","RUGGIERO KM, 2000, PSYCHOL SCI","0.000","1.000","0.000","0.000","human","0.200"
"10.1016/j.jesp.2022.104339","GRIGORYAN L;SEO S;SIMUNOVIC D;HOFMANN W","HELPING THE INGROUP VERSUS HARMING THE OUTGROUP: EVIDENCE FROM MORALITY-BASED GROUPS","JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY","2022","2","0.667","1.587","GRIGORYAN L, 2022, J EXP SOC PSYCHOL","0.000","1.000","0.000","0.000","human","0.064"
"10.1016/j.jenvman.2021.113931","GARCÍA-ROMERO L;PEÑA-ALONSO C;HESP PA;HERNÁNDEZ-CORDERO AI;HERNÁNDEZ-CALVENTO L","SAND, SUN, SEA AND SEX WITH STRANGERS, THE “FIVE S'S”. CHARACTERIZING “CRUISING” ACTIVITY AND ITS ENVIRONMENTAL IMPACTS ON A PROTECTED COASTAL DUNEFIELD","JOURNAL OF ENVIRONMENTAL MANAGEMENT","2022","2","0.667","1.587","GARCÍA-ROMERO L, 2022, J ENVIRON MANAGE","0.000","1.000","0.000","0.000","human","0.085"
"10.1177/0022022120930102","SCHWARZ M;PUJIASTUTI SI;HOLODYNSKI M","BEYOND AUTONOMY? MORAL SOCIALIZATION GOALS OF GERMAN AND INDONESIAN PRESCHOOL TEACHERS","JOURNAL OF CROSS-CULTURAL PSYCHOLOGY","2020","2","0.400","0.120","SCHWARZ M, 2020, J CROSS-CULT PSYCHOL","0.000","1.000","0.000","0.000","human","0.078"
"10.1080/02681102.2018.1540390","GHOSH S","RETRACTED ARTICLE: BIOMETRIC IDENTIFICATION, FINANCIAL INCLUSION AND ECONOMIC GROWTH IN INDIA: DOES MOBILE PENETRATION MATTER? (INFORMATION TECHNOLOGY FOR DEVELOPMENT, (2019), 25, 4, (III–XXIII), 10.1080/02681102.2018.1540390)","ETHNICITY AND HEALTH","2019","2","0.333","0.112","GHOSH S, 2019, ETHN HEALTH","0.000","1.000","0.000","0.000","human","0.002"
"10.1007/s11199-018-0962-0","BALDWIN R","RETRACTED ARTICLE: AN ETHNOGRAPHY OF BREASTAURANT MASCULINITY: THEMES OF OBJECTIFICATION, SEXUAL CONQUEST, MALE CONTROL, AND MASCULINE TOUGHNESS IN A SEXUALLY OBJECTIFYING RESTAURANT (SEX ROLES, (2018), 79, 762, 10.1007/S11199-018-0962-0)","SEX ROLES","2018","2","0.286","0.066","BALDWIN R, 2018, SEX ROLES","0.000","1.000","0.000","0.000","human","0.122"
"10.2466/pms.1988.66.3.927","GROSSARTH-MATICEK R;EYSENCK HJ;VETTER H","ANTISMOKING ATTITUDES AND GENERAL PREJUDICE: AN EMPIRICAL STUDY.","PERCEPTUAL AND MOTOR SKILLS","1988","2","0.054","0.040","GROSSARTH-MATICEK R, 1988, PERCEPT MOT SKILLS","0.000","1.000","0.000","0.000","human","0.149"
